run,experiment_id,head,bin,mean_auc,std_auc,mean_sens_at_fpr,std_sens_at_fpr,folds,n_pos_total,n_neg_total
table3_core_targetSens80,late_fusion_lr,txt,"(0.0,5.0]",0.6776030219780219,0.09494716137169217,0.29126984126984123,0.11890202737498881,5,45,324
table3_core_targetSens80,text_lr,txt,"(0.0,5.0]",0.6776030219780219,0.09494716137169217,0.29126984126984123,0.11890202737498881,5,45,324
text_ablation_lr,text_lr_traditional_only,txt,"(0.0,5.0]",0.6734073565323565,0.10773903561433426,0.2781746031746032,0.18788750165432438,5,45,324
text_ablation_lr,text_lr_no_entropy,txt,"(0.0,5.0]",0.6610592185592186,0.10498229766391008,0.22738095238095238,0.16911467482933107,5,45,324
text_ablation_lr,text_lr_no_drift,txt,"(0.0,5.0]",0.6559516178266178,0.10124926297570334,0.2496031746031746,0.13578156691106635,5,45,324
table3_core_targetSens80,late_fusion_lr,fus,"(0.0,5.0]",0.6524855006105006,0.054772964209812286,0.24603174603174605,0.08281205061392542,5,45,324
table3_core_targetSens80,text_svm_cal,txt,"(0.0,5.0]",0.6199389499389499,0.07798639140678305,0.2496031746031746,0.13578156691106635,5,45,324
text_ablation_lr,text_lr_novel_only,txt,"(0.0,5.0]",0.6103716422466422,0.07403047709537844,0.23571428571428568,0.12028457899735286,5,45,324
table3_core_targetSens80,early_fusion_lr,fus,"(0.0,5.0]",0.5995436507936508,0.026422268543285606,0.22103174603174605,0.05968232860482767,5,45,324
exp19_text_catboost,text_catboost_cfg1,txt,"(0.0,5.0]",0.5977489177489177,0.1469941797045456,0.09833333333333334,0.10612419930916957,10,45,324
text_classifier_compare,text_catboost_cfg1,txt,"(0.0,5.0]",0.5977489177489177,0.1469941797045456,0.09833333333333334,0.10612419930916957,10,45,324
table3_core_targetSens80,audio_core_lr,aud,"(0.0,5.0]",0.5900885225885226,0.07784081313755423,0.2579365079365079,0.10007555724538485,5,45,324
table3_core_targetSens80,audio_lr,aud,"(0.0,5.0]",0.5817170329670329,0.04525292162423911,0.12222222222222223,0.125154225845209,5,45,324
table3_core_targetSens80,late_fusion_lr,aud,"(0.0,5.0]",0.5817170329670329,0.04525292162423911,0.12222222222222223,0.125154225845209,5,45,324
exp18_text_classifier_compare,text_lr,txt,"(0.0,5.0]",0.5670955086580086,0.19373743460630452,0.20714285714285713,0.20898499743024526,10,45,324
text_classifier_compare,text_lr,txt,"(0.0,5.0]",0.5670955086580086,0.19373743460630452,0.20714285714285713,0.20898499743024526,10,45,324
exp18_text_classifier_compare,text_mlp,txt,"(0.0,5.0]",0.563131764069264,0.16938990237391005,0.1492857142857143,0.14867369462320862,10,45,324
text_classifier_compare,text_mlp,txt,"(0.0,5.0]",0.563131764069264,0.16938990237391005,0.1492857142857143,0.14867369462320862,10,45,324
exp18_text_classifier_compare,text_svm_cal,txt,"(0.0,5.0]",0.554745670995671,0.19809629515479857,0.20714285714285713,0.20898499743024526,10,45,324
text_classifier_compare,text_svm_cal,txt,"(0.0,5.0]",0.554745670995671,0.19809629515479857,0.20714285714285713,0.20898499743024526,10,45,324
table5_audio_dimensionality,early_fusion_audio_pca_lr,fus,"(0.0,5.0]",0.5512594696969697,0.20014679443517833,0.17047619047619048,0.20248892233510044,10,45,324
table5_audio_dimensionality,audio_lr,aud,"(0.0,5.0]",0.5462635281385281,0.17657774881412786,0.17619047619047618,0.25445390074418284,10,45,324
table5_audio_dimensionality,audio_core_lr,aud,"(0.0,5.0]",0.5022632575757575,0.1520448047259163,0.13952380952380952,0.1929737057114102,10,45,324
text_ablation_lr,text_lr_novel_only,txt,"(10.0,15.0]",0.5696136675824175,0.09063546563553881,0.075,0.1118033988749895,5,27,324
table3_core_targetSens80,early_fusion_lr,fus,"(10.0,15.0]",0.5621517857142857,0.19843805936240622,0.13999999999999999,0.12942179105544785,5,27,324
table3_core_targetSens80,audio_lr,aud,"(10.0,15.0]",0.5463791208791209,0.2003985229161086,0.215,0.22332711434127295,5,27,324
table3_core_targetSens80,late_fusion_lr,aud,"(10.0,15.0]",0.5463791208791209,0.2003985229161086,0.215,0.22332711434127295,5,27,324
table5_audio_dimensionality,early_fusion_audio_pca_lr,fus,"(10.0,15.0]",0.5383698092031426,0.13731195767279222,0.23333333333333334,0.19148542155126763,9,27,291
exp18_text_classifier_compare,text_mlp,txt,"(10.0,15.0]",0.5352062289562289,0.1914630628411227,0.2074074074074074,0.21652416966561197,9,27,291
text_classifier_compare,text_mlp,txt,"(10.0,15.0]",0.5352062289562289,0.1914630628411227,0.2074074074074074,0.21652416966561197,9,27,291
table5_audio_dimensionality,audio_lr,aud,"(10.0,15.0]",0.5337051066217733,0.17103591755686307,0.16296296296296295,0.2188635067065801,9,27,291
exp18_text_classifier_compare,text_lr,txt,"(10.0,15.0]",0.5061588103254769,0.13077185264306326,0.15185185185185185,0.19515742300278108,9,27,291
text_classifier_compare,text_lr,txt,"(10.0,15.0]",0.5061588103254769,0.13077185264306326,0.15185185185185185,0.19515742300278108,9,27,291
exp18_text_classifier_compare,text_svm_cal,txt,"(10.0,15.0]",0.4996387485970819,0.1312534893243032,0.15185185185185185,0.19515742300278108,9,27,291
text_classifier_compare,text_svm_cal,txt,"(10.0,15.0]",0.4996387485970819,0.1312534893243032,0.15185185185185185,0.19515742300278108,9,27,291
table3_core_targetSens80,late_fusion_lr,txt,"(10.0,15.0]",0.48718509615384614,0.11276912984884545,0.07857142857142857,0.11406228159050938,5,27,324
table3_core_targetSens80,text_lr,txt,"(10.0,15.0]",0.48718509615384614,0.11276912984884545,0.07857142857142857,0.11406228159050938,5,27,324
text_ablation_lr,text_lr_no_drift,txt,"(10.0,15.0]",0.48469013278388273,0.11593085504501735,0.07857142857142857,0.11406228159050938,5,27,324
text_ablation_lr,text_lr_traditional_only,txt,"(10.0,15.0]",0.47865876831501825,0.11106618056843161,0.10714285714285714,0.14725377234348788,5,27,324
text_ablation_lr,text_lr_no_entropy,txt,"(10.0,15.0]",0.47649862637362633,0.09669888114489826,0.05714285714285714,0.12777531299998798,5,27,324
exp19_text_catboost,text_catboost_cfg1,txt,"(10.0,15.0]",0.47195216049382716,0.17716079932305526,0.022222222222222223,0.06666666666666668,9,27,291
text_classifier_compare,text_catboost_cfg1,txt,"(10.0,15.0]",0.47195216049382716,0.17716079932305526,0.022222222222222223,0.06666666666666668,9,27,291
table3_core_targetSens80,text_svm_cal,txt,"(10.0,15.0]",0.47076236263736265,0.07974088772388956,0.0,0.0,5,27,324
table3_core_targetSens80,late_fusion_lr,fus,"(10.0,15.0]",0.4619672619047619,0.13577956933318716,0.075,0.1118033988749895,5,27,324
table5_audio_dimensionality,audio_core_lr,aud,"(10.0,15.0]",0.44901795735129063,0.1790821494045127,0.09259259259259259,0.188398055086813,9,27,291
table3_core_targetSens80,audio_core_lr,aud,"(10.0,15.0]",0.4312061584249084,0.1176393905662832,0.10357142857142856,0.10594569267279519,5,27,324
exp19_text_catboost,text_catboost_cfg1,txt,"(5.0,10.0]",0.6149878246753246,0.16965054060166448,0.19166666666666665,0.3558375617755528,10,32,324
text_classifier_compare,text_catboost_cfg1,txt,"(5.0,10.0]",0.6149878246753246,0.16965054060166448,0.19166666666666665,0.3558375617755528,10,32,324
table3_core_targetSens80,text_svm_cal,txt,"(5.0,10.0]",0.6099686164529914,0.101728939160005,0.2523809523809524,0.1591413325281049,5,32,324
exp18_text_classifier_compare,text_lr,txt,"(5.0,10.0]",0.6086002886002886,0.186920793560816,0.22261904761904763,0.3246240339477003,10,32,324
text_classifier_compare,text_lr,txt,"(5.0,10.0]",0.6086002886002886,0.186920793560816,0.22261904761904763,0.3246240339477003,10,32,324
text_ablation_lr,text_lr_no_drift,txt,"(5.0,10.0]",0.6071362751831502,0.11865000378981619,0.20238095238095238,0.1952526127006753,5,32,324
exp18_text_classifier_compare,text_mlp,txt,"(5.0,10.0]",0.6028851010101011,0.20403170300649853,0.2092857142857143,0.17263847728637474,10,32,324
text_classifier_compare,text_mlp,txt,"(5.0,10.0]",0.6028851010101011,0.20403170300649853,0.2092857142857143,0.17263847728637474,10,32,324
text_ablation_lr,text_lr_traditional_only,txt,"(5.0,10.0]",0.5974171054639805,0.12216717101509011,0.16746031746031745,0.18723263460417727,5,32,324
exp18_text_classifier_compare,text_svm_cal,txt,"(5.0,10.0]",0.5947997835497836,0.19870845489731384,0.15928571428571428,0.2172413739665218,10,32,324
text_classifier_compare,text_svm_cal,txt,"(5.0,10.0]",0.5947997835497836,0.19870845489731384,0.15928571428571428,0.2172413739665218,10,32,324
table3_core_targetSens80,early_fusion_lr,fus,"(5.0,10.0]",0.5872315705128205,0.09491618365110734,0.1257936507936508,0.15350784131248557,5,32,324
text_ablation_lr,text_lr_no_entropy,txt,"(5.0,10.0]",0.5871607905982905,0.09795539874938419,0.14523809523809522,0.14878571238064756,5,32,324
table3_core_targetSens80,late_fusion_lr,txt,"(5.0,10.0]",0.5851328792735042,0.11810200371556036,0.2523809523809524,0.1591413325281049,5,32,324
table3_core_targetSens80,text_lr,txt,"(5.0,10.0]",0.5851328792735042,0.11810200371556036,0.2523809523809524,0.1591413325281049,5,32,324
text_ablation_lr,text_lr_novel_only,txt,"(5.0,10.0]",0.580136217948718,0.08411217840325187,0.14523809523809522,0.14878571238064756,5,32,324
table3_core_targetSens80,late_fusion_lr,fus,"(5.0,10.0]",0.5791007516788766,0.10966416674686802,0.1007936507936508,0.10542419323391772,5,32,324
table5_audio_dimensionality,audio_lr,aud,"(5.0,10.0]",0.5729108044733044,0.2325096521552672,0.22023809523809526,0.35016328120918194,10,32,324
table5_audio_dimensionality,early_fusion_audio_pca_lr,fus,"(5.0,10.0]",0.5629522907647908,0.15815201306806004,0.13452380952380952,0.23796623489343507,10,32,324
table3_core_targetSens80,audio_lr,aud,"(5.0,10.0]",0.5471845428876678,0.09047661083306746,0.17579365079365078,0.1426199530052261,5,32,324
table3_core_targetSens80,late_fusion_lr,aud,"(5.0,10.0]",0.5471845428876678,0.09047661083306746,0.17579365079365078,0.1426199530052261,5,32,324
table3_core_targetSens80,audio_core_lr,aud,"(5.0,10.0]",0.4744185935592185,0.16796626339861045,0.05,0.1118033988749895,5,32,324
table5_audio_dimensionality,audio_core_lr,aud,"(5.0,10.0]",0.4722781385281385,0.22185138417868866,0.07857142857142857,0.17317234805683984,10,32,324
table5_audio_dimensionality,audio_lr,aud,=0,0.6892045454545455,0.17596469514835503,0.3333333333333333,0.31180478223116176,10,27,324
table5_audio_dimensionality,early_fusion_audio_pca_lr,fus,=0,0.6727588383838384,0.17559923963179444,0.2,0.32914029430219166,10,27,324
table3_core_targetSens80,audio_lr,aud,=0,0.6401923076923077,0.08836963360412194,0.35,0.0912870929175277,5,27,324
table3_core_targetSens80,late_fusion_lr,aud,=0,0.6401923076923077,0.08836963360412194,0.35,0.0912870929175277,5,27,324
table3_core_targetSens80,early_fusion_lr,fus,=0,0.6347355769230768,0.031545818998292174,0.24166666666666664,0.1570120306784731,5,27,324
table3_core_targetSens80,late_fusion_lr,fus,=0,0.5836858974358974,0.051049200929261455,0.13333333333333333,0.12638125740085918,5,27,324
exp18_text_classifier_compare,text_lr,txt,=0,0.5734453914141414,0.2582553345154593,0.15,0.3374742788552764,10,27,324
text_classifier_compare,text_lr,txt,=0,0.5734453914141414,0.2582553345154593,0.15,0.3374742788552764,10,27,324
exp18_text_classifier_compare,text_svm_cal,txt,=0,0.572979797979798,0.26692272749900287,0.125,0.31732387941099616,10,27,324
text_classifier_compare,text_svm_cal,txt,=0,0.572979797979798,0.26692272749900287,0.125,0.31732387941099616,10,27,324
table3_core_targetSens80,audio_core_lr,aud,=0,0.563125,0.039995470060104656,0.16666666666666666,0.10206207261596575,5,27,324
table5_audio_dimensionality,audio_core_lr,aud,=0,0.5449652777777778,0.17403817614054626,0.18333333333333332,0.31622776601683794,10,27,324
exp18_text_classifier_compare,text_mlp,txt,=0,0.5406407828282828,0.24301835602157892,0.15833333333333333,0.32022850637676886,10,27,324
text_classifier_compare,text_mlp,txt,=0,0.5406407828282828,0.24301835602157892,0.15833333333333333,0.32022850637676886,10,27,324
table3_core_targetSens80,late_fusion_lr,txt,=0,0.5321314102564103,0.055562367319496146,0.10833333333333332,0.10865337342004415,5,27,324
table3_core_targetSens80,text_lr,txt,=0,0.5321314102564103,0.055562367319496146,0.10833333333333332,0.10865337342004415,5,27,324
text_ablation_lr,text_lr_traditional_only,txt,=0,0.5221314102564103,0.027486684100551762,0.03333333333333333,0.07453559924999298,5,27,324
text_ablation_lr,text_lr_novel_only,txt,=0,0.5165144230769231,0.18285502288426417,0.13333333333333333,0.12638125740085918,5,27,324
text_ablation_lr,text_lr_no_drift,txt,=0,0.5162339743589743,0.041956110667034,0.08333333333333333,0.11785113019775792,5,27,324
table3_core_targetSens80,text_svm_cal,txt,=0,0.5030689102564102,0.06865105030712712,0.03333333333333333,0.07453559924999298,5,27,324
text_ablation_lr,text_lr_no_entropy,txt,=0,0.4985897435897436,0.03967736417832445,0.03333333333333333,0.07453559924999298,5,27,324
exp19_text_catboost,text_catboost_cfg1,txt,=0,0.4334517045454545,0.2242821410960551,0.05833333333333333,0.12453617650811052,10,27,324
text_classifier_compare,text_catboost_cfg1,txt,=0,0.4334517045454545,0.2242821410960551,0.05833333333333333,0.12453617650811052,10,27,324
