run,experiment_id,fold,head,bin,auc,sens_at_fpr,thr_at_fpr,n_pos,n_neg,fpr_target
audio_dim_reduction_experiments,audio_core_catboost,1,aud,"(10.0,15.0]",0.33171912832929784,0.14285714285714285,0.43637553941906065,7,59,0.1
audio_dim_reduction_experiments,audio_core_catboost,1,aud,"(5.0,10.0]",0.4651600753295669,0.2222222222222222,0.43637553941906065,9,59,0.1
audio_dim_reduction_experiments,audio_core_catboost,1,aud,"[0.0,5.0]",0.5317796610169492,0.25,0.43637553941906065,16,59,0.1
audio_dim_reduction_experiments,audio_core_catboost,2,aud,"(10.0,15.0]",0.5583333333333332,0.2,0.6248211376172365,10,60,0.1
audio_dim_reduction_experiments,audio_core_catboost,2,aud,"(5.0,10.0]",0.7000000000000001,0.2,0.6248211376172365,5,60,0.1
audio_dim_reduction_experiments,audio_core_catboost,2,aud,"[0.0,5.0]",0.4708333333333333,0.1875,0.6248211376172365,16,60,0.1
audio_dim_reduction_experiments,audio_core_catboost,3,aud,"(10.0,15.0]",0.6218905472636815,0.0,0.8221413099545586,3,67,0.1
audio_dim_reduction_experiments,audio_core_catboost,3,aud,"(5.0,10.0]",0.6631130063965884,0.2857142857142857,0.8221413099545586,7,67,0.1
audio_dim_reduction_experiments,audio_core_catboost,3,aud,"[0.0,5.0]",0.699360341151386,0.35714285714285715,0.8221413099545586,14,67,0.1
audio_dim_reduction_experiments,audio_core_catboost,4,aud,"(10.0,15.0]",0.46984126984126984,0.0,0.48258756763845384,5,63,0.1
audio_dim_reduction_experiments,audio_core_catboost,4,aud,"(5.0,10.0]",0.5782312925170068,0.14285714285714285,0.48258756763845384,7,63,0.1
audio_dim_reduction_experiments,audio_core_catboost,4,aud,"[0.0,5.0]",0.47420634920634924,0.0625,0.48258756763845384,16,63,0.1
audio_dim_reduction_experiments,audio_core_catboost,5,aud,"(10.0,15.0]",0.1866666666666667,0.0,0.7746245570501429,2,75,0.1
audio_dim_reduction_experiments,audio_core_catboost,5,aud,"(5.0,10.0]",0.48,0.0,0.7746245570501429,4,75,0.1
audio_dim_reduction_experiments,audio_core_catboost,5,aud,"[0.0,5.0]",0.44933333333333325,0.1,0.7746245570501429,10,75,0.1
audio_dim_reduction_experiments,audio_core_lr,1,aud,"(10.0,15.0]",0.3196125907990315,0.14285714285714285,0.6070871682063586,7,59,0.1
audio_dim_reduction_experiments,audio_core_lr,1,aud,"(5.0,10.0]",0.4613935969868173,0.1111111111111111,0.6070871682063586,9,59,0.1
audio_dim_reduction_experiments,audio_core_lr,1,aud,"[0.0,5.0]",0.5286016949152542,0.25,0.6070871682063586,16,59,0.1
audio_dim_reduction_experiments,audio_core_lr,2,aud,"(10.0,15.0]",0.48166666666666674,0.0,0.6697928425344334,10,60,0.1
audio_dim_reduction_experiments,audio_core_lr,2,aud,"(5.0,10.0]",0.5233333333333333,0.2,0.6697928425344334,5,60,0.1
audio_dim_reduction_experiments,audio_core_lr,2,aud,"[0.0,5.0]",0.34166666666666673,0.0625,0.6697928425344334,16,60,0.1
audio_dim_reduction_experiments,audio_core_lr,3,aud,"(10.0,15.0]",0.36318407960199,0.0,0.6692349785474225,3,67,0.1
audio_dim_reduction_experiments,audio_core_lr,3,aud,"(5.0,10.0]",0.4797441364605544,0.14285714285714285,0.6692349785474225,7,67,0.1
audio_dim_reduction_experiments,audio_core_lr,3,aud,"[0.0,5.0]",0.5298507462686567,0.07142857142857142,0.6692349785474225,14,67,0.1
audio_dim_reduction_experiments,audio_core_lr,4,aud,"(10.0,15.0]",0.34285714285714286,0.0,0.6017661607560966,5,63,0.1
audio_dim_reduction_experiments,audio_core_lr,4,aud,"(5.0,10.0]",0.2811791383219955,0.0,0.6017661607560966,7,63,0.1
audio_dim_reduction_experiments,audio_core_lr,4,aud,"[0.0,5.0]",0.625,0.1875,0.6017661607560966,16,63,0.1
audio_dim_reduction_experiments,audio_core_lr,5,aud,"(10.0,15.0]",0.36,0.0,0.5495455122319785,2,75,0.1
audio_dim_reduction_experiments,audio_core_lr,5,aud,"(5.0,10.0]",0.63,0.5,0.5495455122319785,4,75,0.1
audio_dim_reduction_experiments,audio_core_lr,5,aud,"[0.0,5.0]",0.62,0.2,0.5495455122319785,10,75,0.1
audio_dim_reduction_experiments,early_fusion_audio_pca_catboost,1,fus,"(10.0,15.0]",0.4721549636803874,0.14285714285714285,0.6439773969875742,7,59,0.1
audio_dim_reduction_experiments,early_fusion_audio_pca_catboost,1,fus,"(5.0,10.0]",0.6459510357815443,0.2222222222222222,0.6439773969875742,9,59,0.1
audio_dim_reduction_experiments,early_fusion_audio_pca_catboost,1,fus,"[0.0,5.0]",0.5974576271186441,0.0625,0.6439773969875742,16,59,0.1
audio_dim_reduction_experiments,early_fusion_audio_pca_catboost,2,fus,"(10.0,15.0]",0.7066666666666668,0.5,0.5734864172714895,10,60,0.1
audio_dim_reduction_experiments,early_fusion_audio_pca_catboost,2,fus,"(5.0,10.0]",0.5433333333333333,0.4,0.5734864172714895,5,60,0.1
audio_dim_reduction_experiments,early_fusion_audio_pca_catboost,2,fus,"[0.0,5.0]",0.44687499999999997,0.0,0.5734864172714895,16,60,0.1
audio_dim_reduction_experiments,early_fusion_audio_pca_catboost,3,fus,"(10.0,15.0]",0.5721393034825871,0.0,0.7724533757106127,3,67,0.1
audio_dim_reduction_experiments,early_fusion_audio_pca_catboost,3,fus,"(5.0,10.0]",0.6055437100213219,0.0,0.7724533757106127,7,67,0.1
audio_dim_reduction_experiments,early_fusion_audio_pca_catboost,3,fus,"[0.0,5.0]",0.6588486140724947,0.07142857142857142,0.7724533757106127,14,67,0.1
audio_dim_reduction_experiments,early_fusion_audio_pca_catboost,4,fus,"(10.0,15.0]",0.3650793650793651,0.0,0.47802691253084334,5,63,0.1
audio_dim_reduction_experiments,early_fusion_audio_pca_catboost,4,fus,"(5.0,10.0]",0.5804988662131519,0.14285714285714285,0.47802691253084334,7,63,0.1
audio_dim_reduction_experiments,early_fusion_audio_pca_catboost,4,fus,"[0.0,5.0]",0.5962301587301588,0.25,0.47802691253084334,16,63,0.1
audio_dim_reduction_experiments,early_fusion_audio_pca_catboost,5,fus,"(10.0,15.0]",0.30666666666666664,0.0,0.633643609100545,2,75,0.1
audio_dim_reduction_experiments,early_fusion_audio_pca_catboost,5,fus,"(5.0,10.0]",0.44666666666666666,0.0,0.633643609100545,4,75,0.1
