experiment_id,fold,head,bin,auc,sens_at_fpr,thr_at_fpr,n_pos,n_neg,fpr_target
text_lr,1,txt,"(0.0,5.0]",0.515625,0.0,0.32810437267813225,2,32,0.1
text_lr,1,txt,"(10.0,15.0]",0.5625,0.0,0.32810437267813225,2,32,0.1
text_lr,1,txt,"(5.0,10.0]",0.48125,0.0,0.32810437267813225,5,32,0.1
text_lr,1,txt,=0,0.59375,0.0,0.32810437267813225,4,32,0.1
text_lr,2,txt,"(0.0,5.0]",0.85625,0.6,0.31851728818587205,5,32,0.1
text_lr,2,txt,"(10.0,15.0]",0.34375,0.0,0.31851728818587205,2,32,0.1
text_lr,2,txt,"(5.0,10.0]",0.71875,0.5,0.31851728818587205,2,32,0.1
text_lr,2,txt,=0,0.78125,0.5,0.31851728818587205,4,32,0.1
text_lr,3,txt,"(0.0,5.0]",0.5303030303030303,0.0,0.40631214287740264,2,33,0.1
text_lr,3,txt,"(10.0,15.0]",0.5151515151515151,0.2,0.40631214287740264,5,33,0.1
text_lr,3,txt,"(5.0,10.0]",0.7121212121212122,0.25,0.40631214287740264,4,33,0.1
text_lr,3,txt,=0,0.5454545454545454,0.0,0.40631214287740264,2,33,0.1
text_lr,4,txt,"(0.0,5.0]",0.6614583333333333,0.3333333333333333,0.3239475937783692,6,32,0.1
text_lr,4,txt,"(10.0,15.0]",0.6770833333333334,0.3333333333333333,0.3239475937783692,3,32,0.1
text_lr,4,txt,"(5.0,10.0]",0.71875,0.0,0.3239475937783692,1,32,0.1
text_lr,4,txt,=0,0.6145833333333333,0.0,0.3239475937783692,3,32,0.1
text_lr,5,txt,"(0.0,5.0]",0.6017316017316017,0.2857142857142857,0.37489618694894317,7,33,0.1
text_lr,5,txt,"(10.0,15.0]",0.34848484848484845,0.0,0.37489618694894317,2,33,0.1
text_lr,5,txt,"(5.0,10.0]",0.5858585858585859,0.3333333333333333,0.37489618694894317,3,33,0.1
text_lr,5,txt,=0,0.8787878787878788,0.0,0.37489618694894317,1,33,0.1
text_lr,6,txt,"(0.0,5.0]",0.5364583333333334,0.16666666666666666,0.3444626694640315,6,32,0.1
text_lr,6,txt,"(10.0,15.0]",0.65625,0.5,0.3444626694640315,2,32,0.1
text_lr,6,txt,"(5.0,10.0]",0.3125,0.0,0.3444626694640315,1,32,0.1
text_lr,6,txt,=0,0.4765625,0.0,0.3444626694640315,4,32,0.1
text_lr,7,txt,"(0.0,5.0]",0.6818181818181818,0.0,0.4413495970248912,4,33,0.1
text_lr,7,txt,"(10.0,15.0]",0.5959595959595959,0.0,0.4413495970248912,3,33,0.1
text_lr,7,txt,"(5.0,10.0]",0.40404040404040403,0.0,0.4413495970248912,3,33,0.1
text_lr,7,txt,=0,0.3434343434343434,0.0,0.4413495970248912,3,33,0.1
text_lr,8,txt,"(0.0,5.0]",0.5875,0.4,0.3467426027931084,5,32,0.1
text_lr,8,txt,"(10.0,15.0]",0.49999999999999994,0.3333333333333333,0.3467426027931084,3,32,0.1
text_lr,8,txt,"(5.0,10.0]",0.625,0.0,0.3467426027931084,3,32,0.1
text_lr,8,txt,=0,0.1875,0.0,0.3467426027931084,2,32,0.1
text_lr,9,txt,"(0.0,5.0]",0.606060606060606,0.2857142857142857,0.3803871226430744,7,33,0.1
text_lr,9,txt,"(5.0,10.0]",0.9696969696969697,1.0,0.3803871226430744,3,33,0.1
text_lr,9,txt,=0,0.31313131313131315,0.0,0.3803871226430744,3,33,0.1
text_lr,10,txt,"(0.0,5.0]",0.09375,0.0,0.3740866802524904,1,32,0.1
text_lr,10,txt,"(10.0,15.0]",0.35625,0.0,0.3740866802524904,5,32,0.1
text_lr,10,txt,"(5.0,10.0]",0.5580357142857142,0.14285714285714285,0.3740866802524904,7,32,0.1
text_lr,10,txt,=0,1.0,1.0,0.3740866802524904,1,32,0.1
text_mlp,1,txt,"(0.0,5.0]",0.75,0.0,0.47337079795320136,2,32,0.1
text_mlp,1,txt,"(10.0,15.0]",0.71875,0.5,0.47337079795320136,2,32,0.1
text_mlp,1,txt,"(5.0,10.0]",0.58125,0.2,0.47337079795320136,5,32,0.1
text_mlp,1,txt,=0,0.515625,0.0,0.47337079795320136,4,32,0.1
text_mlp,2,txt,"(0.0,5.0]",0.6312500000000001,0.4,0.47520236226253587,5,32,0.1
text_mlp,2,txt,"(10.0,15.0]",0.484375,0.0,0.47520236226253587,2,32,0.1
text_mlp,2,txt,"(5.0,10.0]",0.8125,0.5,0.47520236226253587,2,32,0.1
text_mlp,2,txt,=0,0.5703125,0.25,0.47520236226253587,4,32,0.1
text_mlp,3,txt,"(0.0,5.0]",0.6060606060606061,0.0,0.42528645127361914,2,33,0.1
text_mlp,3,txt,"(10.0,15.0]",0.4484848484848485,0.0,0.42528645127361914,5,33,0.1
