experiment_id,fold,head,eval_level,thr,auc,f1,sens,spec,brier,n_pos,n_neg,n_test,threshold_policy,target_sensitivity
text_catboost_cfg1,1,txt,clip,0.5,0.47115384615384615,0.09523809523809525,0.07692307692307693,0.78125,0.326140627624293,13,32,45,fixed_0.5,
text_catboost_cfg1,1,txt,speaker,0.5,0.4895833333333333,0.0,0.0,0.75,0.35923795352166327,8,12,20,fixed_0.5,
text_catboost_cfg1,2,txt,clip,0.5,0.6971153846153846,0.6153846153846154,0.6153846153846154,0.84375,0.2112434818443481,13,32,45,fixed_0.5,
text_catboost_cfg1,2,txt,speaker,0.5,0.75,0.7142857142857143,0.625,0.9166666666666666,0.19371530489006805,8,12,20,fixed_0.5,
text_catboost_cfg1,3,txt,clip,0.5,0.4941724941724942,0.3636363636363637,0.3076923076923077,0.8484848484848485,0.26576721002500703,13,33,46,fixed_0.5,
text_catboost_cfg1,3,txt,speaker,0.5,0.625,0.2,0.125,0.9230769230769231,0.2751783053102921,8,13,21,fixed_0.5,
text_catboost_cfg1,4,txt,clip,0.5,0.5673076923076923,0.3076923076923077,0.3076923076923077,0.71875,0.30207789824489706,13,32,45,fixed_0.5,
text_catboost_cfg1,4,txt,speaker,0.5,0.5096153846153846,0.0,0.0,0.6923076923076923,0.2652286212115014,8,13,21,fixed_0.5,
text_catboost_cfg1,5,txt,clip,0.5,0.44522144522144524,0.27586206896551724,0.3076923076923077,0.6363636363636364,0.358580243401304,13,33,46,fixed_0.5,
text_catboost_cfg1,5,txt,speaker,0.5,0.3482142857142857,0.14285714285714288,0.125,0.6428571428571429,0.3661236020368325,8,14,22,fixed_0.5,
text_catboost_cfg1,6,txt,clip,0.5,0.5769230769230769,0.32,0.3076923076923077,0.75,0.285814455576998,13,32,45,fixed_0.5,
text_catboost_cfg1,6,txt,speaker,0.5,0.5726495726495726,0.2857142857142857,0.2222222222222222,0.7692307692307693,0.27453320551974003,9,13,22,fixed_0.5,
text_catboost_cfg1,7,txt,clip,0.5,0.6386946386946388,0.3076923076923077,0.3076923076923077,0.7272727272727273,0.23645799922294444,13,33,46,fixed_0.5,
text_catboost_cfg1,7,txt,speaker,0.5,0.7321428571428572,0.5454545454545454,0.375,1.0,0.1789662994269733,8,14,22,fixed_0.5,
text_catboost_cfg1,8,txt,clip,0.5,0.46875,0.2,0.15384615384615385,0.84375,0.2926255420554814,13,32,45,fixed_0.5,
text_catboost_cfg1,8,txt,speaker,0.5,0.48717948717948717,0.1818181818181818,0.1111111111111111,0.9230769230769231,0.3237660031939065,9,13,22,fixed_0.5,
text_catboost_cfg1,9,txt,clip,0.5,0.4312354312354313,0.18181818181818185,0.15384615384615385,0.7878787878787878,0.31772769060721257,13,33,46,fixed_0.5,
text_catboost_cfg1,9,txt,speaker,0.5,0.33035714285714285,0.16666666666666666,0.125,0.7857142857142857,0.35335133793248624,8,14,22,fixed_0.5,
text_catboost_cfg1,10,txt,clip,0.5,0.4866071428571429,0.0,0.0,0.75,0.34782202032259607,14,32,46,fixed_0.5,
text_catboost_cfg1,10,txt,speaker,0.5,0.34615384615384615,0.0,0.0,0.8461538461538461,0.38443809713400334,10,13,23,fixed_0.5,
