experiment_id,fold,head,bin,auc,sens_at_fpr,thr_at_fpr,n_pos,n_neg,fpr_target
text_catboost_cfg1,1,txt,"(0.0,5.0]",0.734375,0.0,0.8272259349165318,2,32,0.1
text_catboost_cfg1,1,txt,"(10.0,15.0]",0.4375,0.0,0.8272259349165318,2,32,0.1
text_catboost_cfg1,1,txt,"(5.0,10.0]",0.54375,0.0,0.8272259349165318,5,32,0.1
text_catboost_cfg1,1,txt,=0,0.265625,0.0,0.8272259349165318,4,32,0.1
text_catboost_cfg1,2,txt,"(0.0,5.0]",0.8562500000000001,0.2,0.7663413755245513,5,32,0.1
text_catboost_cfg1,2,txt,"(10.0,15.0]",0.5625,0.0,0.7663413755245513,2,32,0.1
text_catboost_cfg1,2,txt,"(5.0,10.0]",0.734375,0.0,0.7663413755245513,2,32,0.1
text_catboost_cfg1,2,txt,=0,0.546875,0.25,0.7663413755245513,4,32,0.1
text_catboost_cfg1,3,txt,"(0.0,5.0]",0.7272727272727272,0.0,0.7719566669334289,2,33,0.1
text_catboost_cfg1,3,txt,"(10.0,15.0]",0.32727272727272727,0.2,0.7719566669334289,5,33,0.1
text_catboost_cfg1,3,txt,"(5.0,10.0]",0.7575757575757576,0.25,0.7719566669334289,4,33,0.1
text_catboost_cfg1,3,txt,=0,0.1515151515151515,0.0,0.7719566669334289,2,33,0.1
text_catboost_cfg1,4,txt,"(0.0,5.0]",0.46875,0.16666666666666666,0.787252576763045,6,32,0.1
text_catboost_cfg1,4,txt,"(10.0,15.0]",0.6249999999999999,0.0,0.787252576763045,3,32,0.1
text_catboost_cfg1,4,txt,"(5.0,10.0]",0.90625,1.0,0.787252576763045,1,32,0.1
text_catboost_cfg1,4,txt,=0,0.59375,0.0,0.787252576763045,3,32,0.1
text_catboost_cfg1,5,txt,"(0.0,5.0]",0.5021645021645023,0.0,0.9385586559449679,7,33,0.1
text_catboost_cfg1,5,txt,"(10.0,15.0]",0.13636363636363635,0.0,0.9385586559449679,2,33,0.1
text_catboost_cfg1,5,txt,"(5.0,10.0]",0.5656565656565656,0.0,0.9385586559449679,3,33,0.1
text_catboost_cfg1,5,txt,=0,0.303030303030303,0.0,0.9385586559449679,1,33,0.1
text_catboost_cfg1,6,txt,"(0.0,5.0]",0.671875,0.16666666666666666,0.779120400455953,6,32,0.1
text_catboost_cfg1,6,txt,"(10.0,15.0]",0.546875,0.0,0.779120400455953,2,32,0.1
text_catboost_cfg1,6,txt,"(5.0,10.0]",0.40625,0.0,0.779120400455953,1,32,0.1
text_catboost_cfg1,6,txt,=0,0.4921875,0.0,0.779120400455953,4,32,0.1
text_catboost_cfg1,7,txt,"(0.0,5.0]",0.5757575757575757,0.25,0.7576318892993356,4,33,0.1
text_catboost_cfg1,7,txt,"(10.0,15.0]",0.7474747474747475,0.0,0.7576318892993356,3,33,0.1
text_catboost_cfg1,7,txt,"(5.0,10.0]",0.3939393939393939,0.0,0.7576318892993356,3,33,0.1
text_catboost_cfg1,7,txt,=0,0.8585858585858586,0.3333333333333333,0.7576318892993356,3,33,0.1
text_catboost_cfg1,8,txt,"(0.0,5.0]",0.5062500000000001,0.2,0.7389456987188754,5,32,0.1
text_catboost_cfg1,8,txt,"(10.0,15.0]",0.42708333333333326,0.0,0.7389456987188754,3,32,0.1
text_catboost_cfg1,8,txt,"(5.0,10.0]",0.5833333333333333,0.0,0.7389456987188754,3,32,0.1
text_catboost_cfg1,8,txt,=0,0.265625,0.0,0.7389456987188754,2,32,0.1
text_catboost_cfg1,9,txt,"(0.0,5.0]",0.37229437229437223,0.0,0.7661137290146903,7,33,0.1
text_catboost_cfg1,9,txt,"(5.0,10.0]",0.7676767676767676,0.6666666666666666,0.7661137290146903,3,33,0.1
text_catboost_cfg1,9,txt,=0,0.23232323232323232,0.0,0.7661137290146903,3,33,0.1
text_catboost_cfg1,10,txt,"(0.0,5.0]",0.5625,0.0,0.8703543525106195,1,32,0.1
text_catboost_cfg1,10,txt,"(10.0,15.0]",0.43750000000000006,0.0,0.8703543525106195,5,32,0.1
text_catboost_cfg1,10,txt,"(5.0,10.0]",0.4910714285714286,0.0,0.8703543525106195,7,32,0.1
text_catboost_cfg1,10,txt,=0,0.625,0.0,0.8703543525106195,1,32,0.1
