experiment_id,fold,head,eval_level,thr,auc,f1,sens,spec,brier,n_pos,n_neg,n_test,threshold_policy,target_sensitivity
text_lr,1,txt,clip,0.2558947013008225,0.5946745562130178,0.44705882352941173,0.7307692307692307,0.38461538461538464,0.2018020974828109,26,65,91,target_sens,0.8
text_lr,1,txt,speaker,0.2558947013008225,0.6442307692307693,0.5714285714285714,0.875,0.2692307692307692,0.2427508611906917,16,26,42,target_sens,0.8
text_svm_cal,1,txt,clip,0.2615545286775684,0.5710059171597632,0.44705882352941173,0.7307692307692307,0.38461538461538464,0.20328748883750086,26,65,91,target_sens,0.8
text_svm_cal,1,txt,speaker,0.2615545286775684,0.5649038461538461,0.5306122448979591,0.8125,0.23076923076923078,0.24607057624130216,16,26,42,target_sens,0.8
audio_lr,1,aud,clip,0.12582494855198093,0.5402366863905326,0.41975308641975306,0.6538461538461539,0.4153846153846154,0.21882283306665923,26,65,91,target_sens,0.8
audio_lr,1,aud,speaker,0.12582494855198093,0.5240384615384616,0.48979591836734687,0.75,0.19230769230769232,0.2511741846171579,16,26,42,target_sens,0.8
audio_core_lr,1,aud,clip,0.18570268502032838,0.47928994082840237,0.43396226415094336,0.8846153846153846,0.12307692307692308,0.20950925208004118,26,65,91,target_sens,0.8
audio_core_lr,1,aud,speaker,0.18570268502032838,0.47115384615384615,0.5263157894736842,0.9375,0.0,0.23977200948020294,16,26,42,target_sens,0.8
early_fusion_lr,1,fus,clip,0.10143498649642077,0.5662721893491125,0.4285714285714286,0.6923076923076923,0.38461538461538464,0.2223294905050167,26,65,91,target_sens,0.8
early_fusion_lr,1,fus,speaker,0.10143498649642077,0.53125,0.5384615384615385,0.875,0.15384615384615385,0.263377974832081,16,26,42,target_sens,0.8
late_fusion_lr,1,txt,clip,0.2558947013008225,0.5946745562130178,0.44705882352941173,0.7307692307692307,0.38461538461538464,0.2018020974828109,26,65,91,target_sens,0.8
late_fusion_lr,1,txt,speaker,0.2558947013008225,0.6442307692307693,0.5714285714285714,0.875,0.2692307692307692,0.2427508611906917,16,26,42,target_sens,0.8
late_fusion_lr,1,aud,clip,0.12582494855198093,0.5402366863905326,0.41975308641975306,0.6538461538461539,0.4153846153846154,0.21882283306665923,26,65,91,target_sens,0.8
late_fusion_lr,1,aud,speaker,0.12582494855198093,0.5240384615384616,0.48979591836734687,0.75,0.19230769230769232,0.2511741846171579,16,26,42,target_sens,0.8
late_fusion_lr,1,fus,clip,0.2269767183370147,0.5804733727810651,0.4102564102564103,0.6153846153846154,0.4461538461538462,0.20005593747839925,26,65,91,target_sens,0.8
late_fusion_lr,1,fus,speaker,0.2269767183370147,0.6009615384615385,0.5,0.75,0.23076923076923078,0.24108748647863154,16,26,42,target_sens,0.8
text_lr,2,txt,clip,0.2661415934367659,0.6816568047337278,0.5274725274725275,0.9230769230769231,0.36923076923076925,0.1925216850954003,26,65,91,target_sens,0.8
text_lr,2,txt,speaker,0.2661415934367659,0.6470588235294118,0.6415094339622641,1.0,0.2692307692307692,0.23586744853425107,17,26,43,target_sens,0.8
text_svm_cal,2,txt,clip,0.27137120784026164,0.6254437869822485,0.48148148148148145,1.0,0.13846153846153847,0.19945686426968076,26,65,91,target_sens,0.8
text_svm_cal,2,txt,speaker,0.27137120784026164,0.6176470588235294,0.5862068965517241,1.0,0.07692307692307693,0.24526761877658917,17,26,43,target_sens,0.8
audio_lr,2,aud,clip,0.19591467463481738,0.5076923076923078,0.4123711340206186,0.7692307692307693,0.2153846153846154,0.21697861699059204,26,65,91,target_sens,0.8
