run,experiment_id,head,bin,mean_auc,std_auc,mean_sens_at_fpr,std_sens_at_fpr,folds,n_pos_total,n_neg_total
table5_audio_dimensionality,audio_core_lr,aud,"(0.0,5.0]",0.5022632575757575,0.1520448047259163,0.13952380952380952,0.1929737057114102,10,45,324
table5_audio_dimensionality,audio_core_lr,aud,"(10.0,15.0]",0.44901795735129063,0.1790821494045127,0.09259259259259259,0.188398055086813,9,27,291
table5_audio_dimensionality,audio_core_lr,aud,"(5.0,10.0]",0.4722781385281385,0.22185138417868866,0.07857142857142857,0.17317234805683984,10,32,324
table5_audio_dimensionality,audio_core_lr,aud,=0,0.5449652777777778,0.17403817614054626,0.18333333333333332,0.31622776601683794,10,27,324
table5_audio_dimensionality,audio_lr,aud,"(0.0,5.0]",0.5462635281385281,0.17657774881412786,0.17619047619047618,0.25445390074418284,10,45,324
table5_audio_dimensionality,audio_lr,aud,"(10.0,15.0]",0.5337051066217733,0.17103591755686307,0.16296296296296295,0.2188635067065801,9,27,291
table5_audio_dimensionality,audio_lr,aud,"(5.0,10.0]",0.5729108044733044,0.2325096521552672,0.22023809523809526,0.35016328120918194,10,32,324
table5_audio_dimensionality,audio_lr,aud,=0,0.6892045454545455,0.17596469514835503,0.3333333333333333,0.31180478223116176,10,27,324
table5_audio_dimensionality,early_fusion_audio_pca_lr,fus,"(0.0,5.0]",0.5512594696969697,0.20014679443517833,0.17047619047619048,0.20248892233510044,10,45,324
table5_audio_dimensionality,early_fusion_audio_pca_lr,fus,"(10.0,15.0]",0.5383698092031426,0.13731195767279222,0.23333333333333334,0.19148542155126763,9,27,291
table5_audio_dimensionality,early_fusion_audio_pca_lr,fus,"(5.0,10.0]",0.5629522907647908,0.15815201306806004,0.13452380952380952,0.23796623489343507,10,32,324
table5_audio_dimensionality,early_fusion_audio_pca_lr,fus,=0,0.6727588383838384,0.17559923963179444,0.2,0.32914029430219166,10,27,324
