experiment_id,fold,head,bin,auc,sens_at_fpr,thr_at_fpr,n_pos,n_neg,fpr_target
text_lr_no_drift,1,txt,"(0.0,5.0]",0.5666666666666667,0.25,0.3113267192469191,12,65,0.1
text_lr_no_drift,1,txt,"(10.0,15.0]",0.4666666666666666,0.0,0.3113267192469191,3,65,0.1
text_lr_no_drift,1,txt,"(5.0,10.0]",0.6483516483516484,0.42857142857142855,0.3113267192469191,7,65,0.1
text_lr_no_drift,1,txt,=0,0.5653846153846154,0.25,0.3113267192469191,4,65,0.1
text_lr_no_drift,2,txt,"(0.0,5.0]",0.8087912087912088,0.42857142857142855,0.3462785115393153,7,65,0.1
text_lr_no_drift,2,txt,"(10.0,15.0]",0.6857142857142857,0.14285714285714285,0.3462785115393153,7,65,0.1
text_lr_no_drift,2,txt,"(5.0,10.0]",0.7025641025641025,0.3333333333333333,0.3462785115393153,9,65,0.1
text_lr_no_drift,2,txt,=0,0.4564102564102564,0.0,0.3462785115393153,3,65,0.1
text_lr_no_drift,3,txt,"(0.0,5.0]",0.5850694444444444,0.1111111111111111,0.46350602538768254,9,64,0.1
text_lr_no_drift,3,txt,"(10.0,15.0]",0.39453125,0.25,0.46350602538768254,4,64,0.1
text_lr_no_drift,3,txt,"(5.0,10.0]",0.634765625,0.25,0.46350602538768254,8,64,0.1
text_lr_no_drift,3,txt,=0,0.5260416666666666,0.16666666666666666,0.46350602538768254,6,64,0.1
text_lr_no_drift,4,txt,"(0.0,5.0]",0.7076923076923076,0.3333333333333333,0.351681632220454,9,65,0.1
text_lr_no_drift,4,txt,"(10.0,15.0]",0.4553846153846154,0.0,0.351681632220454,5,65,0.1
text_lr_no_drift,4,txt,"(5.0,10.0]",0.65,0.0,0.351681632220454,4,65,0.1
text_lr_no_drift,4,txt,=0,0.5384615384615384,0.0,0.351681632220454,8,65,0.1
text_lr_no_drift,5,txt,"(0.0,5.0]",0.6115384615384616,0.125,0.39166374823907335,8,65,0.1
text_lr_no_drift,5,txt,"(10.0,15.0]",0.4211538461538461,0.0,0.39166374823907335,8,65,0.1
text_lr_no_drift,5,txt,"(5.0,10.0]",0.4,0.0,0.39166374823907335,4,65,0.1
text_lr_no_drift,5,txt,=0,0.49487179487179483,0.0,0.39166374823907335,6,65,0.1
text_lr_no_entropy,1,txt,"(0.0,5.0]",0.5910256410256409,0.25,0.3344674104702613,12,65,0.1
text_lr_no_entropy,1,txt,"(10.0,15.0]",0.4769230769230769,0.0,0.3344674104702613,3,65,0.1
