experiment_id,fold,head,eval_level,thr,auc,f1,sens,spec,brier,n_pos,n_neg,n_test,threshold_policy,target_sensitivity
text_lr,1,txt,clip,0.5,0.5336538461538461,0.0,0.0,0.9375,0.2180298877309188,13,32,45,fixed_0.5,
text_lr,1,txt,speaker,0.5,0.53125,0.0,0.0,1.0,0.2604130630265792,8,12,20,fixed_0.5,
text_svm_cal,1,txt,clip,0.5,0.5480769230769231,0.0,0.0,1.0,0.21119389696623345,13,32,45,fixed_0.5,
text_svm_cal,1,txt,speaker,0.5,0.5104166666666666,0.0,0.0,1.0,0.2570298442807862,8,12,20,fixed_0.5,
text_mlp,1,txt,clip,0.5,0.608173076923077,0.0,0.0,0.9375,0.20721138761023106,13,32,45,fixed_0.5,
text_mlp,1,txt,speaker,0.5,0.7395833333333333,0.0,0.0,1.0,0.21951351545311631,8,12,20,fixed_0.5,
text_catboost_cfg1,1,txt,clip,0.5,0.47115384615384615,0.09523809523809525,0.07692307692307693,0.78125,0.326140627624293,13,32,45,fixed_0.5,
text_catboost_cfg1,1,txt,speaker,0.5,0.4895833333333333,0.0,0.0,0.75,0.35923795352166327,8,12,20,fixed_0.5,
text_lr,2,txt,clip,0.5,0.733173076923077,0.0,0.0,0.96875,0.19415539279891547,13,32,45,fixed_0.5,
text_lr,2,txt,speaker,0.5,0.6770833333333334,0.0,0.0,1.0,0.24253527785398415,8,12,20,fixed_0.5,
text_svm_cal,2,txt,clip,0.5,0.6995192307692307,0.0,0.0,1.0,0.19852988733288998,13,32,45,fixed_0.5,
text_svm_cal,2,txt,speaker,0.5,0.6770833333333334,0.0,0.0,1.0,0.24700978137079624,8,12,20,fixed_0.5,
text_mlp,2,txt,clip,0.5,0.6177884615384615,0.14285714285714288,0.07692307692307693,1.0,0.20348126097929808,13,32,45,fixed_0.5,
text_mlp,2,txt,speaker,0.5,0.6354166666666666,0.0,0.0,1.0,0.22760880962941465,8,12,20,fixed_0.5,
text_catboost_cfg1,2,txt,clip,0.5,0.6971153846153846,0.6153846153846154,0.6153846153846154,0.84375,0.2112434818443481,13,32,45,fixed_0.5,
text_catboost_cfg1,2,txt,speaker,0.5,0.75,0.7142857142857143,0.625,0.9166666666666666,0.19371530489006805,8,12,20,fixed_0.5,
text_lr,3,txt,clip,0.5,0.5827505827505828,0.23529411764705882,0.15384615384615385,0.9393939393939394,0.20504120656256536,13,33,46,fixed_0.5,
text_lr,3,txt,speaker,0.5,0.5288461538461539,0.2222222222222222,0.125,1.0,0.24218446469182092,8,13,21,fixed_0.5,
text_svm_cal,3,txt,clip,0.5,0.5314685314685315,0.0,0.0,1.0,0.20326984090366126,13,33,46,fixed_0.5,
