iter	Passed	Remaining
0	3	2384
1	6	2170
2	9	2096
3	12	2105
4	14	2041
5	16	1958
6	18	1851
7	20	1786
8	22	1764
9	25	1732
10	27	1711
11	29	1694
12	31	1657
13	33	1640
14	35	1612
15	37	1598
16	39	1590
17	41	1569
18	43	1576
19	45	1560
20	47	1544
21	50	1547
22	52	1533
23	54	1525
24	56	1516
25	57	1502
26	60	1504
27	62	1493
28	64	1482
29	66	1480
30	68	1471
31	70	1464
32	72	1459
33	74	1450
34	76	1446
35	78	1445
36	80	1437
37	82	1439
38	84	1439
39	87	1439
40	89	1439
41	91	1438
42	94	1437
43	96	1436
44	98	1433
45	100	1430
46	102	1427
47	104	1423
48	106	1421
49	109	1422
50	111	1420
51	113	1416
52	115	1409
53	117	1402
54	119	1397
55	121	1392
56	123	1387
57	124	1382
58	126	1378
59	128	1373
60	130	1367
61	132	1360
62	133	1354
63	135	1349
64	137	1343
65	139	1340
66	142	1342
67	145	1348
68	148	1354
69	150	1356
70	153	1355
71	155	1355
72	158	1358
73	160	1357
74	162	1355
75	164	1354
76	167	1353
77	169	1349
78	171	1346
79	173	1343
80	174	1337
81	177	1334
82	179	1331
83	180	1326
84	182	1323
85	184	1318
86	186	1315
87	189	1315
88	190	1309
89	193	1308
90	194	1304
91	196	1299
92	198	1296
93	200	1293
94	202	1291
95	204	1288
96	206	1285
97	208	1281
98	210	1278
99	212	1274
100	214	1269
101	216	1267
102	218	1264
103	220	1262
104	222	1260
105	224	1256
106	226	1254
107	228	1251
108	230	1247
109	232	1246
110	234	1244
111	236	1241
112	238	1239
113	240	1236
114	242	1233
115	244	1230
116	246	1226
117	248	1224
118	250	1222
119	252	1221
120	254	1219
121	256	1217
122	259	1215
123	261	1214
124	263	1213
125	265	1211
126	267	1207
127	269	1205
128	271	1203
129	273	1200
130	275	1198
131	278	1196
132	280	1193
133	281	1190
134	283	1188
135	286	1186
136	288	1184
137	290	1181
138	292	1179
139	294	1177
140	296	1175
141	298	1173
142	300	1169
143	302	1167
144	304	1164
145	306	1161
146	308	1159
147	310	1156
148	312	1154
149	314	1151
150	316	1148
151	318	1147
152	320	1144
153	322	1141
154	324	1139
155	325	1136
156	327	1133
157	329	1131
158	331	1128
159	333	1126
160	335	1123
161	337	1121
162	340	1120
163	342	1118
164	344	1117
165	346	1114
166	348	1111
167	350	1109
168	352	1107
169	354	1105
170	356	1103
171	358	1101
172	360	1099
173	363	1097
174	365	1095
175	367	1093
176	369	1092
177	371	1090
178	373	1088
179	375	1084
180	377	1082
181	379	1079
182	381	1077
183	383	1075
184	385	1073
185	387	1070
186	389	1068
187	391	1066
188	393	1065
189	395	1062
190	397	1060
191	399	1057
192	401	1054
193	403	1052
194	405	1050
195	407	1047
196	409	1045
197	411	1042
198	413	1040
199	415	1039
200	417	1036
201	419	1035
202	421	1033
203	423	1030
204	425	1028
205	427	1026
206	429	1023
207	431	1021
208	433	1018
209	435	1017
210	437	1014
211	439	1011
212	441	1009
213	443	1007
214	445	1005
215	448	1004
216	450	1001
217	451	999
218	453	996
219	455	993
220	457	992
221	459	990
222	462	988
223	464	986
224	466	984
225	468	982
226	470	980
227	472	978
228	474	976
229	477	974
230	479	972
231	481	971
232	483	969
233	485	967
234	488	965
235	490	964
236	492	962
237	494	960
238	496	958
239	498	955
240	500	953
241	502	951
242	504	949
243	507	947
244	508	945
245	510	942
246	512	940
247	514	938
248	516	936
249	519	934
250	521	932
251	523	930
252	525	928
253	527	925
254	529	923
255	531	921
256	533	920
257	536	918
258	538	916
259	540	915
260	543	913
261	545	911
262	547	909
263	549	907
264	551	905
265	553	903
266	555	901
267	557	899
268	559	896
269	562	895
270	563	892
271	566	890
272	568	888
273	569	885
274	571	883
275	573	881
276	575	879
277	578	877
278	580	875
279	582	873
280	584	871
281	587	870
282	589	868
283	591	866
284	593	864
285	595	862
286	597	860
287	600	858
288	602	856
289	604	854
290	606	853
291	609	851
292	611	849
293	613	847
294	622	854
295	624	852
296	626	850
297	628	847
298	630	846
299	632	843
300	634	841
301	636	839
302	638	836
303	640	834
304	642	832
305	645	830
306	647	829
307	649	826
308	652	825
309	654	823
310	656	821
311	658	819
312	660	816
313	662	814
314	664	811
315	666	809
316	668	808
317	670	805
318	672	803
319	674	801
320	676	798
321	678	796
322	680	794
323	682	792
324	685	790
325	686	788
326	689	786
327	690	783
328	692	781
329	694	779
330	696	776
331	698	774
332	700	772
333	702	769
334	704	767
335	706	765
336	708	763
337	711	761
338	713	759
339	715	757
340	717	755
341	719	753
342	721	751
343	723	749
344	725	746
345	728	745
346	730	742
347	732	740
348	734	738
349	736	736
350	738	734
351	740	732
352	743	730
353	744	728
354	746	725
355	749	723
356	750	721
357	752	719
358	754	717
359	757	715
360	759	713
361	761	710
362	762	708
363	765	706
364	766	703
365	768	701
366	770	699
367	772	697
368	775	695
369	777	693
370	779	691
371	781	689
372	784	687
373	786	685
374	788	683
375	790	681
376	792	678
377	794	676
378	796	674
379	798	672
380	799	669
381	802	667
382	804	665
383	806	663
384	808	661
385	810	659
386	812	656
387	814	654
388	816	652
389	818	650
390	820	648
391	821	645
392	823	643
393	826	641
394	828	639
395	830	637
396	832	635
397	834	633
398	836	630
399	837	628
400	840	626
401	841	624
402	843	621
403	846	619
404	847	617
405	849	615
406	851	613
407	853	610
408	855	608
409	857	606
410	859	604
411	861	602
412	863	600
413	866	598
414	868	596
415	870	594
416	872	591
417	874	589
418	876	587
419	878	585
420	880	583
421	882	581
422	884	579
423	885	576
424	888	574
425	890	572
426	892	570
427	894	568
428	896	566
429	898	564
430	900	561
431	901	559
432	904	557
433	906	555
434	907	553
435	909	550
436	911	548
437	913	546
438	915	544
439	917	542
440	919	539
441	921	538
442	923	535
443	925	533
444	927	531
445	929	529
446	932	527
447	933	525
448	936	523
449	937	521
450	939	518
451	941	516
452	943	514
453	945	512
454	947	510
455	949	507
456	951	505
457	953	503
458	955	501
459	957	499
460	959	497
461	960	495
462	962	492
463	964	490
464	966	488
465	968	486
466	970	484
467	972	482
468	974	480
469	976	477
470	978	475
471	980	473
472	982	471
473	984	469
474	986	467
475	988	465
476	990	462
477	992	460
478	994	458
479	996	456
480	998	454
481	1000	452
482	1002	450
483	1004	448
484	1006	446
485	1008	444
486	1010	442
487	1013	440
488	1014	437
489	1016	435
490	1018	433
491	1020	431
492	1023	429
493	1024	427
494	1027	425
495	1028	423
496	1030	421
497	1032	418
498	1034	416
499	1036	414
500	1038	412
501	1040	410
502	1042	408
503	1044	406
504	1046	404
505	1048	402
506	1050	399
507	1052	397
508	1054	395
509	1056	393
510	1058	391
511	1060	389
512	1063	387
513	1065	385
514	1067	383
515	1069	381
516	1072	379
517	1074	377
518	1076	375
519	1079	373
520	1081	371
521	1083	369
522	1085	367
523	1088	365
524	1090	363
525	1092	361
526	1095	359
527	1098	357
528	1100	355
529	1103	353
530	1105	351
531	1107	349
532	1109	347
533	1112	345
534	1114	343
535	1117	341
536	1119	339
537	1122	337
538	1124	335
539	1127	333
540	1129	332
541	1132	330
542	1135	328
543	1137	326
544	1139	324
545	1142	322
546	1144	319
547	1146	317
548	1148	315
549	1150	313
550	1152	311
551	1154	309
552	1156	307
553	1158	305
554	1161	303
555	1163	301
556	1165	299
557	1167	297
558	1169	294
559	1171	292
560	1175	291
561	1178	289
562	1180	287
563	1182	285
564	1185	283
565	1186	280
566	1189	279
567	1191	276
568	1193	274
569	1195	272
570	1197	270
571	1199	268
572	1201	266
573	1203	264
574	1205	262
575	1207	259
576	1209	257
577	1211	255
578	1213	253
579	1215	251
580	1217	249
581	1219	247
582	1221	245
583	1223	243
584	1225	240
585	1227	238
586	1229	236
587	1231	234
588	1233	232
589	1235	230
590	1237	228
591	1239	226
592	1241	224
593	1243	221
594	1245	219
595	1247	217
596	1249	215
597	1251	213
598	1254	211
599	1256	209
600	1258	207
601	1260	205
602	1262	203
603	1264	201
604	1266	198
605	1268	196
606	1270	194
607	1272	192
608	1274	190
609	1275	188
610	1277	186
611	1279	184
612	1281	181
613	1283	179
614	1285	177
615	1287	175
616	1288	173
617	1290	171
618	1292	169
619	1294	166
620	1296	164
621	1298	162
622	1299	160
623	1301	158
624	1303	156
625	1305	154
626	1307	152
627	1309	150
628	1311	148
629	1313	145
630	1314	143
631	1316	141
632	1318	139
633	1320	137
634	1322	135
635	1324	133
636	1326	131
637	1328	129
638	1329	126
639	1331	124
640	1333	122
641	1335	120
642	1337	118
643	1339	116
644	1341	114
645	1343	112
646	1345	110
647	1347	108
648	1349	106
649	1350	103
650	1352	101
651	1354	99
652	1356	97
653	1358	95
654	1360	93
655	1362	91
656	1364	89
657	1366	87
658	1367	85
659	1369	83
660	1371	80
661	1373	78
662	1375	76
663	1377	74
664	1378	72
665	1380	70
666	1382	68
667	1384	66
668	1386	64
669	1388	62
670	1390	60
671	1392	58
672	1394	55
673	1395	53
674	1397	51
675	1399	49
676	1401	47
677	1403	45
678	1405	43
679	1407	41
680	1408	39
681	1410	37
682	1413	35
683	1415	33
684	1417	31
685	1419	28
686	1420	26
687	1422	24
688	1424	22
689	1425	20
690	1427	18
691	1429	16
692	1431	14
693	1432	12
694	1434	10
695	1436	8
696	1438	6
697	1439	4
698	1441	2
699	1443	0
